"","Case.Numbers","Total.Records.by.Case","Project.Name","Net.Units","Block.Lot","Min.Filed","Max.Action","Allowed.Height","Plan.Area","Case.Decision.Date","Case.Decision","Q4.Report.Status","Last.Planning.Suffix","Last.Planning.Action","Days","ER.Complete","ER.Interim","ER.Open","C","V","X","D","BP","R","Total","Diff","Multiple","Cancelled.Planning","Cancelled.BP","In.Current.Planning","BP.Reinstated","BP.Issued","Occupancy.Permit","Planning.Approved","Case...in.Q4.Report","Blocklot.in.Q4.Report","In.Q4.Report","Missing.Data","Case.Year","Filing.Year","Action.Year","Notes","More","Manual.Exclusion","QC.Check.Against.Quarterly","Possible.False.Negative","Reason","Should.Be","Possible.False.Positive","Overriden.Date","unitgrp","hgrp1","hgrp2","M","ydiff","unitgrp2"
"85",2012.0727,2,"30 conrad st",1,"7552003","6/7/12 0:00","7/26/13 0:00",40,"FALSE","","","0","E","ER Complete",414,1,0,0,"FALSE","FALSE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,0,1,1,0,0,0,0,2012,2012,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"86",2013.0568,3,"3527 18th st",2,"3588001C","5/6/13 0:00","7/23/13 0:00",55,"TRUE","","","PL Approved","E","ER Complete",78,1,0,0,"FALSE","FALSE","FALSE","FALSE",2,"FALSE",3,0,0,0,0,0,0,0,0,1,0,1,1,0,2013,2013,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"87",2012.0923,3,"3820 24th street",4,"3651017","7/19/12 0:00","7/18/13 0:00",40,"FALSE","9/14/12","Approved","BP Filed","V","Approved",364,1,0,0,"FALSE","TRUE","FALSE","FALSE",1,"FALSE",3,0,0,0,0,0,0,1,0,1,1,1,1,0,2012,2012,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"89",2005.1155,4,"3249 17th street",3,"3575063","12/15/05 0:00","6/14/13 0:00",55,"TRUE","6/14/13","Approved","BP Filed","V","Approved",2738,0,1,0,"FALSE","TRUE","FALSE","TRUE",1,"FALSE",4,0,0,0,0,0,0,1,0,1,1,1,1,0,2005,2005,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",8,"0"
"91",2012.1406,1,"4616 3rd street",1,"5306025","11/8/12 0:00","6/14/13 0:00",40,"FALSE","6/14/13","Approved","BP APPROVED","V","Approved",218,0,0,0,"FALSE","TRUE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,0,2012,2012,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"93",2008.0538,3,"1490 ocean avenue",13,"3197010","5/5/08 0:00","6/6/13 0:00",45,"TRUE","6/6/13","Approved","BP Filed","C","Approved",1858,1,0,0,"TRUE","FALSE","FALSE","FALSE",1,"FALSE",3,0,0,0,0,0,0,0,0,1,1,1,1,0,2008,2008,2013,"","",NA,0,NA,"","",NA,NA,"2","1","1","FALSE",5,"1"
"94",2012.1131,2,"851 corbett avenue",1,"2778013","8/30/12 0:00","6/6/13 0:00",40,"FALSE","6/6/13","Approved","BP Filed","D","Approved",280,1,0,0,"FALSE","FALSE","FALSE","TRUE",0,"FALSE",2,0,0,0,0,0,0,0,0,1,1,1,1,0,2012,2012,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"95",2012.1127,1,"534 texas st",1,"4101004","8/30/12 0:00","5/30/13 0:00",40,"TRUE","","","BP Filed","E","ER Complete",273,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,0,2012,2012,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"96",2008.1084,5,"706 mission st",185,"308001","9/11/08 0:00","5/23/13 0:00",9999,"FALSE","7/31/13","Approved","PL Approved","X","Approved",1715,0,2,0,"FALSE","FALSE","TRUE","FALSE",0,"TRUE",5,0,0,0,0,0,0,0,0,1,1,0,1,0,2008,2008,2013,"","",NA,0,NA,"","",NA,NA,"3","2","3","FALSE",5,"1"
"98",2004.1004,3,"1150 16th street",15,"3821007","9/29/04","5/20/13 0:00",68,"TRUE","","Approved","BP Filed","E","ER Complete",3155,1,0,0,"TRUE","FALSE","FALSE","FALSE",1,"FALSE",3,0,0,0,0,0,0,0,0,1,1,1,1,0,2004,2004,2013,"","",NA,0,NA,"","",NA,1,"2","2","1","FALSE",9,"1"
"99",2013.0246,2,"4103 - 4105 cesar chavez st",1,"6581060","3/5/13 0:00","5/20/13 0:00",40,"FALSE","","","PL Filed","E","ER Complete",76,1,0,0,"FALSE","FALSE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,1,0,1,1,1,1,0,2013,2013,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"101",2011.0702,4,"101 polk st",162,"811002","4/13/12 0:00","5/9/13 0:00",120,"FALSE","1/1/11","Approved","BP Filed","X","Approved",391,0,1,0,"TRUE","FALSE","TRUE","FALSE",1,"FALSE",4,0,0,0,0,0,0,1,0,1,1,1,1,1,2011,2012,2013,"","",NA,0,NA,"","",NA,1,"3","2","3","FALSE",1,"1"
"102",2013.0033,1,"645 20th av",1,"1624005B","1/9/13 0:00","5/7/13 0:00",40,"FALSE","","","BP Filed","E","ER Complete",118,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,0,2013,2013,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"103",2012.0147,4,"1785 15th st",7,"3555036","5/2/12","5/1/13 0:00",55,"TRUE","","","BP ISSUED","E","ER Interim",364,0,1,0,"FALSE","FALSE","FALSE","FALSE",3,"FALSE",4,0,0,0,1,0,0,1,0,1,0,1,1,0,2012,2012,2013,"","",NA,0,NA,"","",NA,1,"1","1","1","FALSE",1,"0"
"104",2004.0482,3,"5400 geary bl",39,"1450007","5/19/04 0:00","4/25/13 0:00",40,"FALSE","4/25/13","Approved","BP Filed","C","Approved",3263,0,1,0,"TRUE","FALSE","FALSE","FALSE",1,"FALSE",3,0,0,0,0,0,0,0,0,1,2,1,1,0,2004,2004,2013,"","",NA,0,NA,"","",NA,NA,"2","1","1","FALSE",9,"1"
"105",2012.0083,4,"400 grove street",33,"793103","6/13/12 0:00","4/23/13 0:00",40,"TRUE","1/27/14","Approved","0","V","Approved",314,1,0,0,"TRUE","TRUE","FALSE","FALSE",1,"FALSE",4,0,0,0,0,0,0,1,0,1,0,0,0,0,2012,2012,2013,"","",NA,1,NA,"","",NA,NA,"2","1","1","FALSE",1,"1"
"106",2013.0428,2,"324 05th st",1,"3753003","4/8/13 0:00","4/11/13 0:00",85,"TRUE","","","0","E","ER Complete",3,1,0,0,"FALSE","FALSE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,1,0,1,0,0,0,0,2013,2013,2013,"","",NA,1,NA,"","",NA,NA,"1","2","2","FALSE",0,"0"
"109",2012.0852,2,"639 peralta avenue",2,"5634014","7/5/12 0:00","4/5/13 0:00",40,"FALSE","4/5/13","Approved","BP Filed","V","Approved",274,1,0,0,"FALSE","TRUE","FALSE","FALSE",0,"FALSE",2,0,0,0,0,0,0,0,0,1,1,1,1,0,2012,2012,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"110",2011.0312,6,"1321 mission street/104 - 9th stree",80,"3509043","7/8/11 0:00","4/4/13 0:00",120,"TRUE","5/24/11","Approved","BP ISSUED","V","Approved",636,0,1,0,"TRUE","TRUE","TRUE","FALSE",1,"FALSE",6,0,0,0,0,0,0,1,0,1,1,1,1,0,2011,2011,2013,"","",NA,0,NA,"","",NA,NA,"3","2","3","FALSE",2,"1"
"111",2009.081,2,"3120 23rd street",1,"3638018","8/28/09 0:00","4/2/13 0:00",40,"TRUE","4/2/13","Approved","0","V","Approved",1313,1,0,0,"FALSE","TRUE","FALSE","FALSE",0,"FALSE",2,0,0,0,0,0,0,0,0,1,0,0,0,0,2009,2009,2013,"","",NA,1,NA,"","",NA,NA,"1","1","1","FALSE",4,"0"
"117",2012.0885,1,"930 shotwell st",1,"3641076","7/12/12 0:00","3/19/13 0:00",40,"TRUE","","CEQA","BP ISSUED","E","ER Complete",250,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,0,2012,2012,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"118",2012.1497,2,"253 sanchez street",1,"3558029","12/7/12 0:00","3/15/13 0:00",40,"TRUE","3/15/13","Approved","CONSTRUCTION","V","Approved",98,0,0,0,"FALSE","TRUE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,1,0,1,1,1,1,0,2012,2012,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"119",2012.1072,4,"101-109 duboce avenue",2,"3533001","8/17/12 0:00","3/14/13 0:00",50,"TRUE","3/14/13","Approved","0","V","Approved",209,1,0,0,"FALSE","TRUE","FALSE","FALSE",2,"FALSE",4,0,0,0,0,0,0,1,0,1,0,0,0,0,2012,2012,2013,"","",NA,1,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"120",2012.0325,3,"344 fulton street (parcel f)",75,"785029","8/6/12 0:00","3/14/13 0:00",65,"TRUE","4/23/13","Approved","BP ISSUED","C","Approved",220,0,1,0,"TRUE","FALSE","FALSE","FALSE",1,"FALSE",3,0,0,0,0,0,0,1,0,1,1,1,1,0,2012,2012,2013,"","",NA,0,NA,"","",NA,NA,"3","2","1","FALSE",1,"1"
"122",2004.0093,2,"san francisco overlook (a.k.a 599 c",34,"2636025","3/25/04 0:00","3/7/13 0:00",40,"FALSE","3/7/13","Approved","PL Approved","C","Approved",3269,0,1,0,"TRUE","FALSE","FALSE","FALSE",0,"FALSE",2,0,0,0,0,0,0,0,0,1,1,1,1,0,2004,2004,2013,"","",NA,0,NA,"","",NA,NA,"2","1","1","FALSE",9,"1"
"125",2010.0222,2,"252 09th st",3,"3518006","3/26/10 0:00","3/6/13 0:00",50,"TRUE","","","BP Filed","E","ER Interim",1076,0,1,0,"FALSE","FALSE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,1,0,1,1,1,1,0,2010,2010,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",3,"0"
"126",2007.0456,6,"181 fremont st",140,"308001","5/15/07 0:00","2/28/13 0:00",9999,"FALSE","3/15/13","Approved","BP ISSUED","V","Approved",2116,0,0,2,"FALSE","TRUE","TRUE","FALSE",1,"FALSE",6,0,0,0,0,0,0,1,0,1,1,0,1,0,2007,2007,2013,"","",NA,0,NA,"","",NA,NA,"3","2","3","FALSE",6,"1"
"128",2012.1451,2,"149 29th st",2,"6634026","11/27/12 0:00","2/27/13 0:00",40,"FALSE","","CEQA","BP ISSUED","E","ER Complete",92,1,0,0,"FALSE","FALSE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,1,0,1,1,1,1,0,2012,2012,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"129",2012.0482,2,"571 21st av",1,"1564013","4/10/12 0:00","2/13/13 0:00",40,"FALSE","2/13/13","Approved","BP Filed","V","Approved",309,1,0,0,"FALSE","TRUE","FALSE","FALSE",0,"FALSE",2,0,0,0,0,0,0,0,0,1,1,1,1,0,2012,2012,2013,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"130",2008.0801,4,"41 tehama st",350,"3736074","7/3/08 0:00","1/25/13 0:00",200,"TRUE","11/29/12","Approved","PL Approved","V","Approved",1667,1,1,0,"FALSE","TRUE","TRUE","FALSE",0,"FALSE",4,0,1,0,0,0,0,0,0,1,0,1,1,0,2008,2008,2013,"","",NA,0,NA,"","",NA,NA,"3","2","3","TRUE",5,"1"
"132",2010.0627,6,"2895 san bruno avenue",10,"5457037","7/29/10 0:00","1/17/13 0:00",40,"FALSE","1/17/13","Approved","PL Approved","C","Approved",903,0,1,0,"TRUE","FALSE","FALSE","FALSE",4,"FALSE",6,0,0,0,0,0,0,4,0,1,1,1,1,0,2010,2010,2013,"","",NA,0,NA,"","",NA,NA,"2","1","1","FALSE",3,"1"
"133",2011.1043,4,"1400 mission street",190,"3507042","12/9/11 0:00","1/17/13 0:00",80,"TRUE","1/17/13","Approved","BP ISSUED","X","Approved",405,1,0,0,"TRUE","FALSE","TRUE","FALSE",1,"FALSE",4,0,0,0,0,0,0,1,0,1,1,1,1,0,2011,2011,2013,"","",NA,0,NA,"","",NA,NA,"3","2","2","FALSE",2,"1"
"136",2005.0694,3,"2554 - 2558 mission street",114,"3616007","7/21/05 0:00","1/10/13 0:00",85,"TRUE","1/10/13","Approved","CONSTRUCTION","C","Approved",2730,0,2,0,"TRUE","FALSE","FALSE","FALSE",0,"FALSE",3,0,0,1,0,0,0,0,0,1,1,1,1,0,2005,2005,2013,"","",NA,0,NA,"","",NA,NA,"3","2","2","FALSE",8,"1"
"139",2006.0848,5,"25-35 dolores street",37,"3534069","7/17/06 0:00","12/7/12 0:00",40,"TRUE","12/7/12","Approved","CONSTRUCTION","V","Approved",2335,0,2,0,"TRUE","TRUE","FALSE","FALSE",1,"FALSE",5,0,0,0,0,0,0,1,0,1,1,1,1,0,2006,2006,2012,"Withdrawn, according to PIM, but does not show up in my data as such","",1,0,NA,"","",NA,NA,"2","1","1","FALSE",6,"1"
"140",2007.1035,4,"350 8th street",416,"3756003","9/7/07 0:00","12/6/12 0:00",40,"TRUE","1/9/14","Approved","BP Filed","E","Approved",1917,1,1,0,"TRUE","FALSE","FALSE","FALSE",1,"FALSE",4,0,0,0,0,0,0,1,0,1,1,1,1,0,2007,2007,2012,"","",NA,0,NA,"","",NA,NA,"3","1","1","FALSE",5,"1"
"141",2008.0082,1,"56 ringold street",2,"3756025","1/17/08 0:00","12/3/12 0:00",40,"TRUE","12/3/12","Approved","BP ISSUED","V","Approved",1782,0,0,0,"FALSE","TRUE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,0,2008,2008,2012,"","",NA,0,NA,"","",NA,1,"1","1","1","FALSE",4,"0"
"142",2012.0821,2,"230 11th street",4,"3516005","6/28/12 0:00","11/28/12 0:00",50,"TRUE","11/28/12","Approved","CONSTRUCTION","V","Approved",153,0,0,0,"FALSE","TRUE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,1,0,1,1,1,1,0,2012,2012,2012,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"143",2012.0131,1,"455 potrero av",2,"3974020","2/9/12 0:00","11/26/12 0:00",58,"TRUE","","","PL Filed","E","ER Complete",291,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,0,2012,2012,2012,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"145",2012.1312,1,"685 florida street",4,"4022022","11/25/12 0:00","11/25/12 0:00",68,"TRUE","11/27/12","Approved","BP ISSUED","E","ER Complete",0,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,0,2012,2012,2012,"","",NA,0,NA,"","",NA,NA,"1","2","1","FALSE",0,"0"
"146",2012.0838,3,"230 2nd ave",3,"1432037","7/2/12 0:00","11/16/12 0:00",40,"FALSE","","","PL Approved","E","Approved",137,0,1,0,"FALSE","FALSE","FALSE","FALSE",2,"FALSE",3,0,0,0,0,0,0,2,0,1,0,1,1,0,2012,2012,2012,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"147",2012.0669,2,"1069 capp street",2,"6527019","5/24/12 0:00","11/16/12 0:00",40,"TRUE","11/16/12","","BP ISSUED","V","Approved",176,0,0,0,"FALSE","TRUE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,1,0,1,1,1,1,0,2012,2012,2012,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"148",2011.083,2,"2882 geary bl",2,"1069045","8/2/11 0:00","11/6/12 0:00",40,"FALSE","11/6/12","Approved","BP Filed","V","Approved",462,0,0,0,"FALSE","TRUE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,1,0,1,1,1,1,0,2011,2011,2012,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"152",2011.1305,1,"43-45 noe street",1,"3538044","11/17/11 0:00","10/26/12 0:00",40,"TRUE","10/26/12","Approved","0","V","Approved",344,0,0,0,"FALSE","TRUE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,2011,2012,"","",NA,1,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"154",2012.082,1,"2538 3rd street",1,"4172006","6/28/12 0:00","10/26/12 0:00",45,"TRUE","10/26/12","Approved","BP ISSUED","V","Approved",120,0,0,0,"FALSE","TRUE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,0,1,1,0,2012,2012,2012,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"155",2012.0045,3,"5800 3rd street",271,"5415002","4/13/12 0:00","10/25/12 0:00",65,"FALSE","10/25/12","Approved","0","C","Approved",195,1,0,0,"TRUE","FALSE","FALSE","FALSE",0,"TRUE",3,0,0,0,0,0,0,0,0,1,2,0,1,0,2012,2012,2012,"","",NA,0,NA,"","",NA,NA,"3","2","1","FALSE",0,"1"
"156",2012.035,2,"1721-1723 church street",1,"6633020","3/15/12 0:00","10/18/12 0:00",40,"FALSE","10/18/12","Approved","PL Approved","V","Approved",217,0,0,0,"FALSE","TRUE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,0,1,1,1,1,1,0,2012,2012,2012,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"157",2012.0033,5,"218 buchanan st",440,"857001","1/10/12 0:00","10/11/12 0:00",40,"TRUE","","","0","R","Approved",275,1,0,0,"TRUE","FALSE","FALSE","FALSE",2,"TRUE",5,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,2012,2012,"This is an update to 2004.0773","",NA,1,NA,"","",NA,NA,"3","1","1","FALSE",0,"1"
"158",2012.1209,1,"758 spruce st",1,"1088022","9/21/12 0:00","10/3/12 0:00",40,"FALSE","","CEQA","CONSTRUCTION","E","ER Complete",12,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,0,2012,2012,2012,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"159",2012.0101,1,"427 31st av",1,"1463005","2/1/12 0:00","9/19/12 0:00",40,"FALSE","","Approved","BP REINSTATED","E","ER Complete",231,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,0,2012,2012,2012,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"160",2012.0032,4,"100 van ness av",399,"814020","5/16/12 0:00","9/14/12 0:00",200,"TRUE","","CEQA","CONSTRUCTION","V","Approved",121,1,0,0,"FALSE","TRUE","TRUE","FALSE",1,"FALSE",4,0,0,0,0,0,0,1,0,1,1,1,1,0,2012,2012,2012,"","",NA,0,NA,"","",NA,NA,"3","2","3","FALSE",0,"1"
"163",2012.0854,3,"2395 diamond street",1,"7551107","7/5/12 0:00","9/7/12 0:00",40,"FALSE","9/7/12","Approved","0","V","Approved",64,0,0,0,"FALSE","TRUE","FALSE","FALSE",2,"FALSE",3,0,0,0,0,0,0,2,0,1,0,0,0,0,2012,2012,2012,"","",NA,1,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"164",2011.0931,2,"8 octavia blvd.",49,"855011","12/5/11","9/6/12 0:00",85,"TRUE","9/6/12","CEQA","CONSTRUCTION","C","Approved",276,1,0,0,"TRUE","FALSE","FALSE","FALSE",0,"FALSE",2,0,0,0,0,0,0,0,0,1,0,1,1,0,2011,2011,2012,"","",NA,0,NA,"","",NA,1,"2","2","2","FALSE",1,"1"
"165",2012.1096,2,"176 - 178 states street",2,"2620119","8/23/12 0:00","9/5/12 0:00",40,"FALSE","","","BP ISSUED","E","ER Complete",13,1,0,0,"FALSE","FALSE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,1,0,1,1,1,1,0,2012,2012,2012,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"166",2011.1435,1,"5087- 5089 mission street",1,"6347016","12/22/11 0:00","8/23/12 0:00",65,"FALSE","8/23/12","Approved","0","V","Approved",245,0,0,0,"FALSE","TRUE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,2011,2012,"","",NA,1,NA,"","",NA,NA,"1","2","1","FALSE",1,"0"
"167",2012.0733,2,"135 yukon st",1,"2716033","6/11/12 0:00","8/23/12 0:00",40,"FALSE","","","CONSTRUCTION","E","ER Complete",73,1,0,0,"FALSE","FALSE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,1,0,1,1,1,1,0,2012,2012,2012,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"168",2012.1098,2,"190 - 192 museum way",2,"2620120","8/23/12 0:00","8/23/12 0:00",40,"FALSE","","CEQA","0","E","ER Complete",0,1,0,0,"FALSE","FALSE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,1,0,1,0,0,0,0,2012,2012,2012,"","",NA,1,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"169",2012.0463,3,"2923 harrison street",1,"4271034","4/5/12 0:00","8/21/12 0:00",40,"TRUE","8/21/12","Approved","BP ISSUED","V","Approved",138,0,0,0,"FALSE","TRUE","FALSE","FALSE",2,"FALSE",3,0,0,0,0,0,0,2,0,1,1,1,1,0,2012,2012,2012,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"171",2004.0976,2,"376 castro street",24,"2623006","9/28/04","8/2/12 0:00",65,"FALSE","8/2/12","Approved","BP Filed","C","Approved",2865,0,0,0,"TRUE","FALSE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,0,0,1,1,1,1,0,2004,2004,2012,"Complete, 20 subdivisions built out, follow on permits not captured here","",NA,0,NA,"","",NA,1,"2","2","1","FALSE",8,"1"
"173",2012.0194,1,"459 geary st",1,"316018","6/25/12 0:00","7/26/12 0:00",130,"FALSE","7/26/12","Approved","0","X","Approved",31,0,0,0,"FALSE","FALSE","TRUE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,2012,2012,"","",NA,1,NA,"","",NA,NA,"1","2","3","FALSE",0,"0"
"174",2011.1416,1,"70-74 gold mine drive",2,"7520033","12/19/11 0:00","7/18/12 0:00",40,"FALSE","11/15/12","Approved","BP ISSUED","E","ER Complete",212,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,0,2011,2011,2012,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"176",2011.0744,2,"market octavia - parcel p",182,"831023","11/3/11 0:00","6/28/12 0:00",50,"TRUE","2/25/14","Approved","CONSTRUCTION","C","Approved",238,1,0,0,"TRUE","FALSE","FALSE","FALSE",0,"FALSE",2,0,0,0,0,0,0,0,0,1,1,1,1,0,2011,2011,2012,"","",NA,0,NA,"","",NA,NA,"3","1","1","FALSE",1,"1"
"177",2012.0746,2,"202 broad st",2,"7106058","6/14/12 0:00","6/14/12 0:00",40,"FALSE","","CEQA","PL Approved","E","ER Complete",0,1,0,0,"FALSE","FALSE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,1,0,1,0,1,1,0,2012,2012,2012,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"178",2012.0753,2,"200 broad st",2,"7106058","6/14/12 0:00","6/14/12 0:00",40,"FALSE","","CEQA","PL Approved","E","ER Complete",0,1,0,0,"FALSE","FALSE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,1,0,1,1,1,1,0,2012,2012,2012,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"183",2012.0556,2,"401 harrison street",299,"3765022","4/25/12 0:00","5/24/12 0:00",550,"TRUE","5/24/12","Approved","CONSTRUCTION","X","Approved",29,0,0,0,"FALSE","FALSE","TRUE","FALSE",1,"FALSE",2,0,0,0,0,0,0,0,0,1,1,0,1,0,2012,2012,2012,"","",NA,0,NA,"","",NA,NA,"3","2","3","FALSE",0,"1"
"185",2011.0588,3,"929 broderick st",1,"1152006","6/7/11 0:00","5/15/12 0:00",40,"FALSE","","Approved","PL Approved","V","Approved",343,1,0,0,"TRUE","TRUE","FALSE","FALSE",0,"FALSE",3,0,0,0,0,0,0,0,0,1,1,1,1,0,2011,2011,2012,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"187",2011.1405,2,"322 28th street",1,"6602010","12/15/11 0:00","3/26/12 0:00",40,"FALSE","3/26/12","Approved","0","V","Approved",102,0,0,0,"FALSE","TRUE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,0,1,1,0,0,0,0,2011,2011,2012,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"188",2007.003,4,"8 washington street",170,"168058","1/3/07 0:00","3/22/12 0:00",275,"FALSE","6/19/12","Approved","PL Approved","C","Approved",1905,0,2,0,"TRUE","FALSE","FALSE","FALSE",0,"TRUE",4,0,0,0,0,0,0,0,0,1,1,0,1,0,2007,2007,2012,"","",NA,0,NA,"","",NA,NA,"3","2","3","FALSE",5,"1"
"190",2011.0527,1,"3527 18th street",2,"3588001C","5/19/11 0:00","2/3/12 0:00",55,"TRUE","2/3/12","Approved","PL Approved","V","Approved",260,0,0,0,"FALSE","TRUE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,0,2011,2011,2012,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"191",2011.0176,1,"1251 turk street",98,"757025","2/22/11 0:00","2/2/12 0:00",50,"FALSE","2/2/12","Approved","BP ISSUED","C","Approved",345,0,0,0,"TRUE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,0,1,1,0,2011,2011,2012,"","",NA,0,NA,"","",NA,NA,"3","1","1","FALSE",1,"1"
"194",2011.0189,1,"721 beach st",1,"0025004D","4/28/11 0:00","1/31/12 0:00",40,"FALSE","","Approved","0","E","ER Complete",278,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,1,0,0,0,0,0,0,1,0,0,0,0,2011,2011,2012,"","",NA,1,0,"","",NA,NA,"1","1","1","TRUE",1,"0"
"195",2010.0959,4,"147 south park avenue",1,"3775031","10/20/10 0:00","1/29/12 0:00",40,"TRUE","10/22/13","Approved","CONSTRUCTION","C","Approved",466,1,0,0,"TRUE","TRUE","FALSE","FALSE",1,"FALSE",4,0,0,0,0,0,0,1,0,1,0,1,1,0,2010,2010,2012,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",2,"0"
"196",2005.0233,2,"49 julian avenue",8,"3547032","3/9/05 0:00","1/26/12 0:00",45,"TRUE","1/26/12","Approved","PL Approved","C","Approved",2514,1,0,0,"TRUE","FALSE","FALSE","FALSE",0,"FALSE",2,0,0,0,0,0,0,0,0,1,1,1,1,0,2005,2005,2012,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",7,"0"
