"","Case.Numbers","Total.Records.by.Case","Project.Name","Net.Units","Block.Lot","Min.Filed","Max.Action","Allowed.Height","Plan.Area","Case.Decision.Date","Case.Decision","Q4.Report.Status","Last.Planning.Suffix","Last.Planning.Action","Days","ER.Complete","ER.Interim","ER.Open","C","V","X","D","BP","R","Total","Diff","Multiple","Cancelled.Planning","Cancelled.BP","In.Current.Planning","BP.Reinstated","BP.Issued","Occupancy.Permit","Planning.Approved","Case...in.Q4.Report","Blocklot.in.Q4.Report","In.Q4.Report","Missing.Data","Case.Year","Filing.Year","Action.Year","Notes","More","Manual.Exclusion","QC.Check.Against.Quarterly","Possible.False.Negative","Reason","Should.Be","Possible.False.Positive","Overriden.Date","unitgrp","hgrp1","hgrp2","M","ydiff","unitgrp2"
"238",2010.042,3,"3151 scott st",24,"937001","6/3/10 0:00","7/14/11 0:00",40,"FALSE","10/18/11","Approved","0","C","Approved",406,1,1,0,"TRUE","FALSE","FALSE","FALSE",0,"FALSE",3,0,0,0,0,0,0,0,0,1,0,0,0,0,2010,2010,2011,"","",NA,1,NA,"","",NA,NA,"2","1","1","FALSE",1,"1"
"239",2010.0598,3,"75 mars street",1,"2653016","7/20/10 0:00","7/14/11 0:00",40,"FALSE","7/14/11","Approved","BP Filed","V","Approved",359,1,0,0,"FALSE","TRUE","FALSE","TRUE",0,"FALSE",3,0,0,0,0,0,0,0,0,1,1,1,1,0,2010,2010,2011,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"240",2010.1082,2,"2420 03rd st",1,"4108003F","12/8/10 0:00","6/30/11 0:00",45,"TRUE","","Approved","BP ISSUED","E","ER Complete",204,1,0,0,"FALSE","FALSE","FALSE","FALSE",1,"FALSE",2,0,1,0,0,0,0,1,0,1,1,1,1,0,2010,2010,2011,"","",NA,0,NA,"","",NA,NA,"1","1","1","TRUE",1,"0"
"241",2011.0357,2,"183 brewster st",3,"5577009","4/7/11 0:00","6/28/11 0:00",40,"FALSE","","","PL Filed","E","ER Complete",82,1,0,0,"FALSE","FALSE","FALSE","FALSE",1,"FALSE",2,0,1,0,0,0,0,0,0,1,1,1,1,0,2011,2011,2011,"","",NA,0,NA,"","",NA,NA,"1","1","1","TRUE",0,"0"
"242",2008.1218,2,"70 gold mine drive",2,"7520033","10/23/08 0:00","6/23/11 0:00",40,"FALSE","6/23/11","Approved","BP Filed","C","Approved",973,1,0,0,"TRUE","FALSE","FALSE","FALSE",0,"FALSE",2,0,0,0,0,0,0,0,0,1,1,1,1,0,2008,2008,2011,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",3,"0"
"243",2011.0089,2,"55 09th st",260,"3701066","1/19/11 0:00","6/23/11 0:00",120,"FALSE","7/15/11","Approved","CONSTRUCTION","X","Approved",155,0,0,0,"FALSE","TRUE","TRUE","FALSE",0,"FALSE",2,0,1,0,0,0,0,0,0,1,1,0,1,0,2011,2011,2011,"","",NA,0,NA,"","",NA,NA,"3","2","3","TRUE",0,"1"
"245",2011.047,1,"4335 lincoln wy",1,"1706045","5/6/11 0:00","6/17/11 0:00",40,"FALSE","","","PL Filed","E","ER Complete",42,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,0,2011,2011,2011,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"247",2011.0439,1,"4159 24th st",1,"6506034","5/3/11 0:00","6/16/11 0:00",40,"FALSE","","","CONSTRUCTION","E","ER Complete",44,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,0,2011,2011,2011,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"248",2010.1138,2,"1000 newhall st",1,"5290051","12/16/10 0:00","6/9/11 0:00",40,"FALSE","6/9/11","Approved","0","V","Approved",175,0,0,0,"FALSE","TRUE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,0,0,1,0,0,0,0,2010,2010,2011,"","",NA,1,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"249",2008.0723,3,"1255-1275 columbus av",20,"28014","6/19/08 0:00","6/8/11 0:00",40,"FALSE","6/8/11","Approved","BP Filed","V","Approved",1084,0,1,0,"FALSE","TRUE","FALSE","FALSE",1,"FALSE",3,0,0,0,0,0,0,1,0,1,1,1,1,0,2008,2008,2011,"","",NA,0,NA,"","",NA,NA,"2","1","1","FALSE",3,"1"
"250",2011.0262,3,"1551  franklin st",1,"665002","3/22/11 0:00","6/6/11 0:00",130,"FALSE","6/6/11","Approved","PL Approved","V","Approved",76,0,0,0,"TRUE","TRUE","FALSE","FALSE",1,"FALSE",3,0,0,0,0,0,0,1,0,1,1,1,1,0,2011,2011,2011,"","",NA,0,NA,"","",NA,NA,"1","2","3","FALSE",0,"0"
"252",2011.0289,1,"717 paris st",1,"6349021","3/29/11 0:00","5/27/11 0:00",40,"FALSE","","","BP ISSUED","E","ER Complete",59,1,0,0,"FALSE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,1,1,1,0,2011,2011,2011,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"253",2004.0891,2,"899 valencia st",18,"3596113","9/2/04 0:00","5/26/11 0:00",55,"TRUE","5/26/11","Approved","PL Approved","C","Approved",2457,0,1,0,"TRUE","FALSE","FALSE","FALSE",0,"FALSE",2,0,0,0,0,0,0,0,0,1,1,1,1,0,2004,2004,2011,"","",NA,0,NA,"","",NA,NA,"2","1","1","FALSE",7,"1"
"257",2009.0906,3,"34 pleasant st",1,"221020","9/28/09 0:00","5/19/11 0:00",65,"FALSE","8/5/10","Approved","0","C","Approved",598,1,0,0,"TRUE","FALSE","FALSE","FALSE",1,"FALSE",3,0,1,0,0,0,0,0,1,1,0,0,0,0,2009,2009,2011,"","",NA,0,NA,"","",NA,NA,"1","2","1","TRUE",2,"0"
"258",2009.0606,2,"34 pleasant st",1,"221021","7/7/09 0:00","5/19/11 0:00",65,"FALSE","5/19/11","Approved","0","C","Approved",681,0,0,0,"TRUE","TRUE","FALSE","FALSE",0,"FALSE",2,0,1,0,0,0,0,0,0,1,0,0,0,0,2009,2009,2011,"","",NA,1,NA,"","",NA,NA,"1","2","1","TRUE",2,"0"
"259",2011.0042,2,"118 broderick st",1,"1237023","1/18/11 0:00","5/12/11 0:00",40,"FALSE","5/12/11","Approved","PL Approved","V","Approved",114,0,0,0,"FALSE","TRUE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,0,1,1,1,1,1,0,2011,2011,2011,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",0,"0"
"260",2010.0787,5,"1875 mission street",23,"3548032","9/7/10 0:00","5/9/11 0:00",65,"TRUE","5/9/11","Approved","CONSTRUCTION","V","Approved",244,1,0,0,"FALSE","TRUE","FALSE","FALSE",3,"FALSE",5,0,0,0,1,0,0,2,0,1,1,1,1,0,2010,2010,2011,"","",NA,0,NA,"","",NA,NA,"2","2","1","FALSE",1,"1"
"261",2010.0877,2,"168 langton st",1,"3755110","9/30/10 0:00","5/9/11 0:00",40,"TRUE","5/9/11","Approved","0","V","Approved",221,0,0,0,"FALSE","TRUE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,0,1,1,0,0,0,0,2010,2010,2011,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"262",2010.1074,2,"234 09th st",1,"3518004","12/2/10 0:00","5/6/11 0:00",50,"TRUE","5/6/11","Approved","0","V","Approved",155,0,0,0,"FALSE","TRUE","FALSE","FALSE",1,"FALSE",2,0,0,0,0,0,0,0,1,1,0,0,0,0,2010,2010,2011,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"263",2010.0614,1,"4960 mission street",3,"6968002","7/22/10 0:00","5/5/11 0:00",40,"FALSE","5/5/11","Approved","0","C","Approved",287,0,0,0,"TRUE","FALSE","FALSE","FALSE",0,"FALSE",1,0,0,0,0,0,0,0,0,1,0,0,0,0,2010,2010,2011,"","",NA,1,NA,"","",NA,NA,"1","1","1","FALSE",1,"0"
"264",2009.0175,5,"5495 california st",2,"1417031","3/5/09 0:00","5/4/11 0:00",40,"FALSE","3/3/11","Approved","0","V","Approved",790,2,0,0,"TRUE","TRUE","FALSE","FALSE",1,"FALSE",5,0,0,0,0,0,0,0,1,1,0,0,0,0,2009,2009,2011,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",2,"0"
"265",2009.0173,3,"353 san jose av",3,"6531022","3/5/09 0:00","5/3/11 0:00",40,"TRUE","3/17/11","Approved","BP REINSTATED","V","Approved",789,1,0,0,"FALSE","TRUE","FALSE","FALSE",1,"FALSE",3,0,0,0,0,0,1,0,0,1,0,1,1,0,2009,2009,2011,"","",NA,0,NA,"","",NA,NA,"1","1","1","FALSE",2,"0"
"266",2006.0868,3,"800 presidio av",83,"1073013","7/20/06 0:00","4/28/11 0:00",40,"FALSE","","Approved","BP Filed","C","Approved",1743,0,1,1,"TRUE","FALSE","FALSE","FALSE",0,"FALSE",3,0,0,0,0,0,0,0,0,1,1,1,1,0,2006,2006,2011,"","",NA,0,NA,"","",NA,NA,"3","1","1","FALSE",5,"1"
"267",2006.0428,4,"2401 16th st",12,"3965001","3/23/06 0:00","4/21/11 0:00",68,"TRUE","4/21/11","Approved","CONSTRUCTION","C","Approved",1855,0,1,0,"TRUE","FALSE","FALSE","FALSE",2,"FALSE",4,0,0,0,0,0,0,2,0,1,1,1,1,0,2006,2006,2011,"","",NA,0,NA,"","",NA,NA,"2","2","1","FALSE",5,"1"
